Filename,Basename,Category,Path,Format,Size (KB),Color Palette,Status
"about-me-page-break.png","about-me-page-break","breaks","breaks/about-me-page-break.png",.png,12580.4,"Mixed earth tones",Oversized
"about-me-page-break.webp","about-me-page-break","breaks","breaks/about-me-page-break.webp",.webp,283.6,"Mixed earth tones",Oversized
"learning-paths-break.png","learning-paths-break","breaks","breaks/learning-paths-break.png",.png,7406.9,"Mixed earth tones",Oversized
"learning-paths-break.webp","learning-paths-break","breaks","breaks/learning-paths-break.webp",.webp,188.7,"Mixed earth tones",OK
"ai-credit-scoring.png","ai-credit-scoring","examples","examples/ai-credit-scoring.png",.png,6144.0,"Company brand colors",Oversized
"ai-credit-scoring.webp","ai-credit-scoring","examples","examples/ai-credit-scoring.webp",.webp,433.7,"Company brand colors",Oversized
"ai-insurance-pricing.png","ai-insurance-pricing","examples","examples/ai-insurance-pricing.png",.png,5281.8,"Company brand colors",Oversized
"ai-insurance-pricing.webp","ai-insurance-pricing","examples","examples/ai-insurance-pricing.webp",.webp,191.4,"Company brand colors",OK
"ai-judicial-sentencing.png","ai-judicial-sentencing","examples","examples/ai-judicial-sentencing.png",.png,5146.5,"Company brand colors",Oversized
"ai-judicial-sentencing.webp","ai-judicial-sentencing","examples","examples/ai-judicial-sentencing.webp",.webp,181.5,"Company brand colors",OK
"ai-resume-screening.png","ai-resume-screening","examples","examples/ai-resume-screening.png",.png,7849.5,"Company brand colors",Oversized
"ai-resume-screening.webp","ai-resume-screening","examples","examples/ai-resume-screening.webp",.webp,168.8,"Company brand colors",OK
"amazon-case2.png","amazon-case2","examples","examples/amazon-case2.png",.png,6810.2,"Company brand colors",Oversized
"amazon-case2.webp","amazon-case2","examples","examples/amazon-case2.webp",.webp,225.4,"Company brand colors",Oversized
"amazon-hiring-bias.png","amazon-hiring-bias","examples","examples/amazon-hiring-bias.png",.png,5966.6,"Company brand colors",Oversized
"amazon-hiring-bias.webp","amazon-hiring-bias","examples","examples/amazon-hiring-bias.webp",.webp,338.3,"Company brand colors",Oversized
"apple-card-bias.png","apple-card-bias","examples","examples/apple-card-bias.png",.png,4609.9,"Company brand colors",Oversized
"apple-card-bias.webp","apple-card-bias","examples","examples/apple-card-bias.webp",.webp,66.3,"Company brand colors",OK
"chatgpt.png","chatgpt","examples","examples/chatgpt.png",.png,5481.6,"Company brand colors",Oversized
"chatgpt.webp","chatgpt","examples","examples/chatgpt.webp",.webp,192.6,"Company brand colors",OK
"compas-bias.png","compas-bias","examples","examples/compas-bias.png",.png,5488.1,"Company brand colors",Oversized
"compas-bias.webp","compas-bias","examples","examples/compas-bias.webp",.webp,261.5,"Company brand colors",Oversized
"deepfake-elections.png","deepfake-elections","examples","examples/deepfake-elections.png",.png,1065.9,"Company brand colors",Oversized
"deepfake-elections.webp","deepfake-elections","examples","examples/deepfake-elections.webp",.webp,23.7,"Company brand colors",OK
"eu-ai-act-cases.png","eu-ai-act-cases","examples","examples/eu-ai-act-cases.png",.png,7337.0,"Company brand colors",Oversized
"eu-ai-act-cases.webp","eu-ai-act-cases","examples","examples/eu-ai-act-cases.webp",.webp,179.2,"Company brand colors",OK
"facial-recognition-bias.png","facial-recognition-bias","examples","examples/facial-recognition-bias.png",.png,4919.3,"Company brand colors",Oversized
"facial-recognition-bias.webp","facial-recognition-bias","examples","examples/facial-recognition-bias.webp",.webp,150.5,"Company brand colors",OK
"foundation-models.png","foundation-models","examples","examples/foundation-models.png",.png,6128.7,"Company brand colors",Oversized
"foundation-models.webp","foundation-models","examples","examples/foundation-models.webp",.webp,285.8,"Company brand colors",Oversized
"gdpr-enforcement-example.png","gdpr-enforcement-example","examples","examples/gdpr-enforcement-example.png",.png,7074.8,"Company brand colors",Oversized
"gdpr-enforcement-example.webp","gdpr-enforcement-example","examples","examples/gdpr-enforcement-example.webp",.webp,197.3,"Company brand colors",OK
"gender-shades.png","gender-shades","examples","examples/gender-shades.png",.png,5614.0,"Company brand colors",Oversized
"gender-shades.webp","gender-shades","examples","examples/gender-shades.webp",.webp,241.4,"Company brand colors",Oversized
"google-maps-example.png","google-maps-example","examples","examples/google-maps-example.png",.png,6434.2,"Company brand colors",Oversized
"google-maps-example.webp","google-maps-example","examples","examples/google-maps-example.webp",.webp,197.3,"Company brand colors",OK
"google-search.png","google-search","examples","examples/google-search.png",.png,5185.9,"Company brand colors",Oversized
"google-search.webp","google-search","examples","examples/google-search.webp",.webp,124.5,"Company brand colors",OK
"healthcare-bias.png","healthcare-bias","examples","examples/healthcare-bias.png",.png,5386.1,"Company brand colors",Oversized
"healthcare-bias.webp","healthcare-bias","examples","examples/healthcare-bias.webp",.webp,181.3,"Company brand colors",OK
"ibm-watson.png","ibm-watson","examples","examples/ibm-watson.png",.png,4936.2,"Company brand colors",Oversized
"ibm-watson.webp","ibm-watson","examples","examples/ibm-watson.webp",.webp,113.2,"Company brand colors",OK
"netflix-recommendations.png","netflix-recommendations","examples","examples/netflix-recommendations.png",.png,5410.6,"Company brand colors",Oversized
"netflix-recommendations.webp","netflix-recommendations","examples","examples/netflix-recommendations.webp",.webp,188.2,"Company brand colors",OK
"openai-anthropic-comparison.png","openai-anthropic-comparison","examples","examples/openai-anthropic-comparison.png",.png,5247.0,"Company brand colors",Oversized
"openai-anthropic-comparison.webp","openai-anthropic-comparison","examples","examples/openai-anthropic-comparison.webp",.webp,89.8,"Company brand colors",OK
"predictive-policing.png","predictive-policing","examples","examples/predictive-policing.png",.png,6654.1,"Company brand colors",Oversized
"predictive-policing.webp","predictive-policing","examples","examples/predictive-policing.webp",.webp,507.7,"Company brand colors",Oversized
"robotic-process-automation.png","robotic-process-automation","examples","examples/robotic-process-automation.png",.png,5247.7,"Company brand colors",Oversized
"robotic-process-automation.webp","robotic-process-automation","examples","examples/robotic-process-automation.webp",.webp,187.7,"Company brand colors",OK
"siri-alexa-example.png","siri-alexa-example","examples","examples/siri-alexa-example.png",.png,5626.5,"Company brand colors",Oversized
"siri-alexa-example.webp","siri-alexa-example","examples","examples/siri-alexa-example.webp",.webp,75.3,"Company brand colors",OK
"tesla-autopilot.png","tesla-autopilot","examples","examples/tesla-autopilot.png",.png,5279.3,"Company brand colors",Oversized
"tesla-autopilot.webp","tesla-autopilot","examples","examples/tesla-autopilot.webp",.webp,163.4,"Company brand colors",OK
"twitter-moderation.png","twitter-moderation","examples","examples/twitter-moderation.png",.png,7234.6,"Company brand colors",Oversized
"twitter-moderation.webp","twitter-moderation","examples","examples/twitter-moderation.webp",.webp,268.2,"Company brand colors",Oversized
"uk-grading-algorithm.png","uk-grading-algorithm","examples","examples/uk-grading-algorithm.png",.png,12068.7,"Company brand colors",Oversized
"uk-grading-algorithm.webp","uk-grading-algorithm","examples","examples/uk-grading-algorithm.webp",.webp,198.6,"Company brand colors",OK
"youtube-recommendation.png","youtube-recommendation","examples","examples/youtube-recommendation.png",.png,5398.7,"Company brand colors",Oversized
"youtube-recommendation.webp","youtube-recommendation","examples","examples/youtube-recommendation.webp",.webp,152.5,"Company brand colors",OK
"agi-asi-and-democratic-governance-algorithmic-democracy.png","agi-asi-and-democratic-governance-algorithmic-democracy","future","future/agi-asi-and-democratic-governance-algorithmic-democracy.png",.png,6150.8,"Blue #4285F4 + Yellow #FBBC04",Oversized
"agi-asi-and-democratic-governance-algorithmic-democracy.webp","agi-asi-and-democratic-governance-algorithmic-democracy","future","future/agi-asi-and-democratic-governance-algorithmic-democracy.webp",.webp,356.0,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-agents-and-autonomous-systems-the-next-frontier.png","ai-agents-and-autonomous-systems-the-next-frontier","future","future/ai-agents-and-autonomous-systems-the-next-frontier.png",.png,10370.9,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-agents-and-autonomous-systems-the-next-frontier.webp","ai-agents-and-autonomous-systems-the-next-frontier","future","future/ai-agents-and-autonomous-systems-the-next-frontier.webp",.webp,185.2,"Blue #4285F4 + Yellow #FBBC04",OK
"ai-alignment-technical-and-governance-challenges.png","ai-alignment-technical-and-governance-challenges","future","future/ai-alignment-technical-and-governance-challenges.png",.png,5374.6,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-alignment-technical-and-governance-challenges.webp","ai-alignment-technical-and-governance-challenges","future","future/ai-alignment-technical-and-governance-challenges.webp",.webp,135.3,"Blue #4285F4 + Yellow #FBBC04",OK
"ai-governance-career-path-aigp-and-beyond.png","ai-governance-career-path-aigp-and-beyond","future","future/ai-governance-career-path-aigp-and-beyond.png",.png,5124.0,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-governance-career-path-aigp-and-beyond.webp","ai-governance-career-path-aigp-and-beyond","future","future/ai-governance-career-path-aigp-and-beyond.webp",.webp,245.6,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-human-collaboration-interfaces-co-intelligence.png","ai-human-collaboration-interfaces-co-intelligence","future","future/ai-human-collaboration-interfaces-co-intelligence.png",.png,12637.7,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-human-collaboration-interfaces-co-intelligence.webp","ai-human-collaboration-interfaces-co-intelligence","future","future/ai-human-collaboration-interfaces-co-intelligence.webp",.webp,233.6,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-impact-on-legal-careers-evolution-of-practice.png","ai-impact-on-legal-careers-evolution-of-practice","future","future/ai-impact-on-legal-careers-evolution-of-practice.png",.png,5025.4,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-impact-on-legal-careers-evolution-of-practice.webp","ai-impact-on-legal-careers-evolution-of-practice","future","future/ai-impact-on-legal-careers-evolution-of-practice.webp",.webp,146.0,"Blue #4285F4 + Yellow #FBBC04",OK
"ai-liability-evolution-product-liability.png","ai-liability-evolution-product-liability","future","future/ai-liability-evolution-product-liability.png",.png,12726.6,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-liability-evolution-product-liability.webp","ai-liability-evolution-product-liability","future","future/ai-liability-evolution-product-liability.webp",.webp,267.9,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-standards-development-iso-ieee-frameworks.png","ai-standards-development-iso-ieee-frameworks","future","future/ai-standards-development-iso-ieee-frameworks.png",.png,12444.9,"Blue #4285F4 + Yellow #FBBC04",Oversized
"ai-standards-development-iso-ieee-frameworks.webp","ai-standards-development-iso-ieee-frameworks","future","future/ai-standards-development-iso-ieee-frameworks.webp",.webp,260.6,"Blue #4285F4 + Yellow #FBBC04",Oversized
"artificial-general-intelligence-hype-hope-and-governance.png","artificial-general-intelligence-hype-hope-and-governance","future","future/artificial-general-intelligence-hype-hope-and-governance.png",.png,6091.3,"Blue #4285F4 + Yellow #FBBC04",Oversized
"artificial-general-intelligence-hype-hope-and-governance.webp","artificial-general-intelligence-hype-hope-and-governance","future","future/artificial-general-intelligence-hype-hope-and-governance.webp",.webp,328.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"digital-sovereignty-national-vs-global-standards.png","digital-sovereignty-national-vs-global-standards","future","future/digital-sovereignty-national-vs-global-standards.png",.png,5579.9,"Blue #4285F4 + Yellow #FBBC04",Oversized
"digital-sovereignty-national-vs-global-standards.webp","digital-sovereignty-national-vs-global-standards","future","future/digital-sovereignty-national-vs-global-standards.webp",.webp,196.4,"Blue #4285F4 + Yellow #FBBC04",OK
"edge-ai-and-distributed-intelligence-decentralized.png","edge-ai-and-distributed-intelligence-decentralized","future","future/edge-ai-and-distributed-intelligence-decentralized.png",.png,4900.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"edge-ai-and-distributed-intelligence-decentralized.webp","edge-ai-and-distributed-intelligence-decentralized","future","future/edge-ai-and-distributed-intelligence-decentralized.webp",.webp,134.6,"Blue #4285F4 + Yellow #FBBC04",OK
"emerging-ai-roles-prompt-engineers-ethicists-auditors.png","emerging-ai-roles-prompt-engineers-ethicists-auditors","future","future/emerging-ai-roles-prompt-engineers-ethicists-auditors.png",.png,6332.3,"Blue #4285F4 + Yellow #FBBC04",Oversized
"emerging-ai-roles-prompt-engineers-ethicists-auditors.webp","emerging-ai-roles-prompt-engineers-ethicists-auditors","future","future/emerging-ai-roles-prompt-engineers-ethicists-auditors.webp",.webp,450.3,"Blue #4285F4 + Yellow #FBBC04",Oversized
"global-ai-governance-institutions-international-bodies.png","global-ai-governance-institutions-international-bodies","future","future/global-ai-governance-institutions-international-bodies.png",.png,5297.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"global-ai-governance-institutions-international-bodies.webp","global-ai-governance-institutions-international-bodies","future","future/global-ai-governance-institutions-international-bodies.webp",.webp,191.3,"Blue #4285F4 + Yellow #FBBC04",OK
"global-ai-regulatory-convergence-harmonization.png","global-ai-regulatory-convergence-harmonization","future","future/global-ai-regulatory-convergence-harmonization.png",.png,6881.4,"Blue #4285F4 + Yellow #FBBC04",Oversized
"global-ai-regulatory-convergence-harmonization.webp","global-ai-regulatory-convergence-harmonization","future","future/global-ai-regulatory-convergence-harmonization.webp",.webp,595.3,"Blue #4285F4 + Yellow #FBBC04",Oversized
"international-ai-treaties-global-governance.png","international-ai-treaties-global-governance","future","future/international-ai-treaties-global-governance.png",.png,11855.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"international-ai-treaties-global-governance.webp","international-ai-treaties-global-governance","future","future/international-ai-treaties-global-governance.webp",.webp,114.4,"Blue #4285F4 + Yellow #FBBC04",OK
"multimodal-ai-systems-beyond-text-and-image.png","multimodal-ai-systems-beyond-text-and-image","future","future/multimodal-ai-systems-beyond-text-and-image.png",.png,9758.9,"Blue #4285F4 + Yellow #FBBC04",Oversized
"multimodal-ai-systems-beyond-text-and-image.webp","multimodal-ai-systems-beyond-text-and-image","future","future/multimodal-ai-systems-beyond-text-and-image.webp",.webp,175.7,"Blue #4285F4 + Yellow #FBBC04",OK
"neuromorphic-computing-brain-inspired-architectures.png","neuromorphic-computing-brain-inspired-architectures","future","future/neuromorphic-computing-brain-inspired-architectures.png",.png,11744.8,"Blue #4285F4 + Yellow #FBBC04",Oversized
"neuromorphic-computing-brain-inspired-architectures.webp","neuromorphic-computing-brain-inspired-architectures","future","future/neuromorphic-computing-brain-inspired-architectures.webp",.webp,181.0,"Blue #4285F4 + Yellow #FBBC04",OK
"quantum-machine-learning-early-developments.png","quantum-machine-learning-early-developments","future","future/quantum-machine-learning-early-developments.png",.png,11651.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"quantum-machine-learning-early-developments.webp","quantum-machine-learning-early-developments","future","future/quantum-machine-learning-early-developments.webp",.webp,331.4,"Blue #4285F4 + Yellow #FBBC04",Oversized
"the-future-of-ai-regulation-whats-coming-next.png","the-future-of-ai-regulation-whats-coming-next","future","future/the-future-of-ai-regulation-whats-coming-next.png",.png,5700.9,"Blue #4285F4 + Yellow #FBBC04",Oversized
"the-future-of-ai-regulation-whats-coming-next.webp","the-future-of-ai-regulation-whats-coming-next","future","future/the-future-of-ai-regulation-whats-coming-next.webp",.webp,234.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"upskilling-for-ai-era-what-professionals-need.png","upskilling-for-ai-era-what-professionals-need","future","future/upskilling-for-ai-era-what-professionals-need.png",.png,5710.0,"Blue #4285F4 + Yellow #FBBC04",Oversized
"upskilling-for-ai-era-what-professionals-need.webp","upskilling-for-ai-era-what-professionals-need","future","future/upskilling-for-ai-era-what-professionals-need.webp",.webp,249.1,"Blue #4285F4 + Yellow #FBBC04",Oversized
"about-me-page-break.png","about-me-page-break","heroes","heroes/about-me-page-break.png",.png,12580.4,"Path-specific gradients",Oversized
"about-me-page-break.webp","about-me-page-break","heroes","heroes/about-me-page-break.webp",.webp,283.6,"Path-specific gradients",Oversized
"danger-hero.png","danger-hero","heroes","heroes/danger-hero.png",.png,7751.9,"Path-specific gradients",Oversized
"danger-hero.webp","danger-hero","heroes","heroes/danger-hero.webp",.webp,49.6,"Path-specific gradients",OK
"future-hero.png","future-hero","heroes","heroes/future-hero.png",.png,11764.4,"Path-specific gradients",Oversized
"future-hero.webp","future-hero","heroes","heroes/future-hero.webp",.webp,97.0,"Path-specific gradients",OK
"history-hero.png","history-hero","heroes","heroes/history-hero.png",.png,7673.8,"Path-specific gradients",Oversized
"history-hero.webp","history-hero","heroes","heroes/history-hero.webp",.webp,444.7,"Path-specific gradients",Oversized
"responsibility-hero.png","responsibility-hero","heroes","heroes/responsibility-hero.png",.png,12388.3,"Path-specific gradients",Oversized
"responsibility-hero.webp","responsibility-hero","heroes","heroes/responsibility-hero.webp",.webp,185.6,"Path-specific gradients",OK
"risk-hero.png","risk-hero","heroes","heroes/risk-hero.png",.png,294.2,"Path-specific gradients",Oversized
"risk-hero.webp","risk-hero","heroes","heroes/risk-hero.webp",.webp,34.7,"Path-specific gradients",OK
"terminology-hero.png","terminology-hero","heroes","heroes/terminology-hero.png",.png,1299.0,"Path-specific gradients",Oversized
"terminology-hero.webp","terminology-hero","heroes","heroes/terminology-hero.webp",.webp,80.0,"Path-specific gradients",OK
"ai-compute-gpus.png","ai-compute-gpus","history","history/ai-compute-gpus.png",.png,6615.0,"Toffee Brown #936639",Oversized
"ai-compute-gpus.webp","ai-compute-gpus","history","history/ai-compute-gpus.webp",.webp,486.8,"Toffee Brown #936639",Oversized
"ai-family-tree.png","ai-family-tree","history","history/ai-family-tree.png",.png,7468.8,"Toffee Brown #936639",Oversized
"ai-family-tree.webp","ai-family-tree","history","history/ai-family-tree.webp",.webp,288.9,"Toffee Brown #936639",Oversized
"ai-history-timeline-f.png","ai-history-timeline-f","history","history/ai-history-timeline-f.png",.png,8621.9,"Toffee Brown #936639",Oversized
"ai-history-timeline-f.webp","ai-history-timeline-f","history","history/ai-history-timeline-f.webp",.webp,417.8,"Toffee Brown #936639",Oversized
"ai-technology-stack.png","ai-technology-stack","history","history/ai-technology-stack.png",.png,7633.4,"Toffee Brown #936639",Oversized
"ai-technology-stack.webp","ai-technology-stack","history","history/ai-technology-stack.webp",.webp,224.6,"Toffee Brown #936639",Oversized
"ai-vs-automation.png","ai-vs-automation","history","history/ai-vs-automation.png",.png,10983.4,"Toffee Brown #936639",Oversized
"ai-vs-automation.webp","ai-vs-automation","history","history/ai-vs-automation.webp",.webp,172.9,"Toffee Brown #936639",OK
"data-behind-ai.png","data-behind-ai","history","history/data-behind-ai.png",.png,12533.6,"Toffee Brown #936639",Oversized
"data-behind-ai.webp","data-behind-ai","history","history/data-behind-ai.webp",.webp,347.7,"Toffee Brown #936639",Oversized
"deep-learning-explained.png","deep-learning-explained","history","history/deep-learning-explained.png",.png,1299.0,"Toffee Brown #936639",Oversized
"deep-learning-explained.webp","deep-learning-explained","history","history/deep-learning-explained.webp",.webp,80.0,"Toffee Brown #936639",OK
"environmental-cost-ai.png","environmental-cost-ai","history","history/environmental-cost-ai.png",.png,1185.2,"Toffee Brown #936639",Oversized
"environmental-cost-ai.webp","environmental-cost-ai","history","history/environmental-cost-ai.webp",.webp,51.1,"Toffee Brown #936639",OK
"foundation-models.png","foundation-models","history","history/foundation-models.png",.png,6103.7,"Toffee Brown #936639",Oversized
"foundation-models.webp","foundation-models","history","history/foundation-models.webp",.webp,390.1,"Toffee Brown #936639",Oversized
"generative-ai-explained.png","generative-ai-explained","history","history/generative-ai-explained.png",.png,9969.3,"Toffee Brown #936639",Oversized
"generative-ai-explained.webp","generative-ai-explained","history","history/generative-ai-explained.webp",.webp,232.3,"Toffee Brown #936639",Oversized
"large-language-models.png","large-language-models","history","history/large-language-models.png",.png,11786.5,"Toffee Brown #936639",Oversized
"large-language-models.webp","large-language-models","history","history/large-language-models.webp",.webp,510.5,"Toffee Brown #936639",Oversized
"machine-learning-explained.png","machine-learning-explained","history","history/machine-learning-explained.png",.png,8275.7,"Toffee Brown #936639",Oversized
"machine-learning-explained.webp","machine-learning-explained","history","history/machine-learning-explained.webp",.webp,145.0,"Toffee Brown #936639",OK
"multimodal-ai.png","multimodal-ai","history","history/multimodal-ai.png",.png,6016.1,"Toffee Brown #936639",Oversized
"multimodal-ai.webp","multimodal-ai","history","history/multimodal-ai.webp",.webp,293.8,"Toffee Brown #936639",Oversized
